Tag Name;Address;Data Type;Respect Data Type;Client Access;Scan Rate;Scaling;Raw Low;Raw High;Scaled Low;Scaled High;Scaled Data Type;Clamp Low;Clamp High;Eng Units;Description;Negate Value
42TC112;52AW00/42NH3:42TC112.PNT\hist00;;;;;;;;0;200;;;;град.С;Рег.Т ГА подач.Пар  в подогр.11г;
42TCV112;52AW00/42NH3:42TCV112.PNT\hist00;;;;;;;;0;100;;;;%;Клап.рег.Т ГА  в подогр.11г;
42TS112;52AW00/42NH3:42TS112.PNT\hist00;;;;;;;;0;200;;;;град.С;Авар.сигн.Т ГА  в подогр.11г;
42FC106;52AW00/42OXG:42FC106.PNT\hist00;;;;;;;;0;84.05596;;;;м3/ч;Рег. F ГА  в РСО;
42FCV106;52AW00/42OXG:42FCV106.PNT\hist00;;;;;;;;0;100;;;;%;Рег.Клап. F ГА  в РСО;
42T109_2;52AW00/42OXG:42T109_2.PNT\hist00;;;;;;;;0;400;;;;град.С;"Т ХГ до РСО ";
42T109_4;52AW00/42OXG:42T109_4.PNT\hist00;;;;;;;;0;400;;;;град.С;"Т НГ за подог.ХГ ";
42T109_5;52AW00/42OXG:42T109_5.PNT\hist00;;;;;;;;0;400;;;;град.С;"Т ХГ после РСО ";
42T109_7;52AW00/42OXG:42T109_7.PNT\hist00;;;;;;;;0;400;;;;град.С;"Т ХГ в зоне реак. ";
42T109_8;52AW00/42OXG:42T109_8.PNT\hist00;;;;;;;;0;400;;;;град.С;"Т ХГ после окис. ";
42T109_9;52AW00/42OXG:42T109_9.PNT\hist00;;;;;;;;0;400;;;;град.С;"Т ХГ в зоне реак. ";
42PS182_1;52AW00/42PODSH_AO:42PS182_1.PNT\hist00;;;;;;;;0;6;;;;кг/см2;АварСигнОсевСдвига  РотораТурбины;
42PS182_2;52AW00/42PODSH_AO:42PS182_2.PNT\hist00;;;;;;;;0;6;;;;кг/см2;АварСигнОсевСдвига  РотораТурбины;
42PS183_1;52AW00/42PODSH_AO:42PS183_1.PNT\hist00;;;;;;;;0;6;;;;кг/см2;АварСигнОсевСдвига  РотораНагнет.;
42PS183_2;52AW00/42PODSH_AO:42PS183_2.PNT\hist00;;;;;;;;0;6;;;;кг/см2;АварСигнОсевСдвига  РотораНагнет.;
42TS177_1;52AW00/42PODSH_AO:42TS177_1.PNT\hist00;;;;;;;;0;100;;;;град.С;Т подшипника редуктора;
42TS177_2;52AW00/42PODSH_AO:42TS177_2.PNT\hist00;;;;;;;;0;100;;;;град.С;Т подшипника редуктора;
42TS177_3;52AW00/42PODSH_AO:42TS177_3.PNT\hist00;;;;;;;;0;100;;;;град.С;Т подшипника редуктора;
42TS177_4;52AW00/42PODSH_AO:42TS177_4.PNT\hist00;;;;;;;;0;100;;;;град.С;Т подшипника редуктора;
42TS177_5;52AW00/42PODSH_AO:42TS177_5.PNT\hist00;;;;;;;;0;100;;;;град.С;Т подшипника редуктора;
42TS177_6;52AW00/42PODSH_AO:42TS177_6.PNT\hist00;;;;;;;;0;100;;;;град.С;Т подшипника редуктора;
42TS177_7;52AW00/42PODSH_AO:42TS177_7.PNT\hist00;;;;;;;;0;100;;;;град.С;Т подшипника редуктора;
42TS177_8;52AW00/42PODSH_AO:42TS177_8.PNT\hist00;;;;;;;;0;100;;;;град.С;Т подшипника редуктора;
42TS178_1;52AW00/42PODSH_AO:42TS178_1.PNT\hist00;;;;;;;;0;100;;;;град.С;Т опор. Подшипника компрессора;
42TS178_2;52AW00/42PODSH_AO:42TS178_2.PNT\hist00;;;;;;;;0;100;;;;град.С;Т опор. Подшипника турбины;
42TS178_3;52AW00/42PODSH_AO:42TS178_3.PNT\hist00;;;;;;;;0;100;;;;град.С;Т упор. Подшипника турбины;
42TS178_4;52AW00/42PODSH_AO:42TS178_4.PNT\hist00;;;;;;;;0;100;;;;град.С;Т упор. Подшипника турбины;
42TS178_5;52AW00/42PODSH_AO:42TS178_5.PNT\hist00;;;;;;;;0;100;;;;град.С;Т перед. Подшип-ка нагнетателя;
42TS178_6;52AW00/42PODSH_AO:42TS178_6.PNT\hist00;;;;;;;;0;100;;;;град.С;Т упор. Подшипника нагнетателя;
42TS178_7;52AW00/42PODSH_AO:42TS178_7.PNT\hist00;;;;;;;;0;100;;;;град.С;Т задн. Подшипника нагнетателя;
42TS179_1;52AW00/42PODSH_AO:42TS179_1.PNT\hist00;;;;;;;;0;100;;;;град.С;Т подшипника РД;
42TS179_2;52AW00/42PODSH_AO:42TS179_2.PNT\hist00;;;;;;;;0;100;;;;град.С;Т подшипника РД;
42TS179_3;52AW00/42PODSH_AO:42TS179_3.PNT\hist00;;;;;;;;0;100;;;;град.С;Т обмотки статора РД;
42EA_RD;52AW00/42RD:42EA_RD.PNT\hist00;;;;;;;;-1500;1500;;;;квт;Мощность  РД;
42IA_RD;52AW00/42RD:42IA_RD.PNT\hist00;;;;;;;;0;150;;;;А;Ток статора  РД;
42P193;52AW00/42RD:42P193.PNT\hist00;;;;;;;;0;1000;;;;мм;"Положение экранов ЖРС ";
42T192;52AW00/42RD:42T192.PNT\hist00;;;;;;;;0;100;;;;град.С;Т электролита  ЖРС;
42F132;52AW00/42REKUP:42F132.PNT\hist00;;;;;;;;0;12.49204;;;;м3/ч;F пит. Воды в КУГ;
42F133;52AW00/42REKUP:42F133.PNT\hist00;;;;;;;;0;39.56160;;;;м3/ч;Fпит. Воды в КУН;
42T174;52AW00/42REKUP:42T174.PNT\hist00;;;;;;;;0;1100;;;;град.С;Т ОХГ  перед ГТТ;
42LC130;52AW00/42REKUP:42LC130.PNT\hist00;;;;;;;;-315;315;;;;мм;Рег.L пит. Воды в КУГ;
42LCV130;52AW00/42REKUP:42LCV130.PNT\hist00;;;;;;;;0;100;;;;%;Рег.Клап.L  в КУГ;
42LC131;52AW00/42REKUP:42LC131.PNT\hist00;;;;;;;;-315;315;;;;мм;Рег.L пит. Воды в КУН;
42LCV131;52AW00/42REKUP:42LCV131.PNT\hist00;;;;;;;;0;100;;;;%;Рег.Клап.L  в КУН;
42P135;52AW00/42REKUP:42P135.PNT\hist00;;;;;;;;0;20;;;;кг/см2;Р перег. пара из КУН;
42P136;52AW00/42REKUP:42P136.PNT\hist00;;;;;;;;0;20;;;;кг/см2;Р перег. пара из КУГ;
42PD170;52AW00/42REKUP:42PD170.PNT\hist00;;;;;;;;0;2,5;;;;кг/см2;Пер.Р Возд./ХГ Нагн.1г/ГТТ;
42T101_4;52AW00/42REKUP:42T101_4.PNT\hist00;;;;;;;;0;400;;;;град.С;Т перег. пара из КУН;
42T101_5;52AW00/42REKUP:42T101_5.PNT\hist00;;;;;;;;0;400;;;;град.С;Т ХГ после КУГ;
